type,subject,code,duration,date
Cambridge International AS Level,Accounting (Multiple Choice) ,9706/11,1h,Wednesday 07 June 2023 AM
Cambridge International AS Level,Accounting ,9706/21,1h 45m,Friday 05 May 2023 AM
Cambridge International AS Level,Biology (Multiple Choice) ,9700/13,1h 15m,Thursday 08 June 2023 PM
Cambridge International AS Level,Biology (Practical – Advanced) ,9700/35,2h,Tuesday 23 May 2023 PM
Cambridge International AS Level,Biology ,9700/23,1h 15m,Wednesday 10 May 2023 PM
Cambridge International AS Level,Business ,9609/11,1h 15m,Tuesday 02 May 2023 AM
Cambridge International AS Level,Business ,9609/21,1h 30m,Thursday 04 May 2023 AM
Cambridge International AS Level,Chemistry (Multiple Choice) ,9701/13,1h 15m,Wednesday 07 June 2023 PM
Cambridge International AS Level,Chemistry (Practical – Advanced) ,9701/35,2h,Thursday 18 May 2023 PM
Cambridge International AS Level,Chemistry ,9701/23,1h 15m,Thursday 11 May 2023 PM
Cambridge International AS Level,Computer Science ,9618/11,1h 30m,Tuesday 09 May 2023 AM
Cambridge International AS Level,Computer Science ,9618/21,2h,Friday 19 May 2023 AM
Cambridge International AS Level,Drama ,9482/11,2h,Wednesday 24 May 2023 AM
Cambridge International AS Level,Economics (Multiple Choice) ,9708/13,1h,Monday 05 June 2023 PM
Cambridge International AS Level,Economics ,9708/23,2h,Friday 05 May 2023 PM
Cambridge International AS Level,English General Paper ,8021/13,1h 15m,Tuesday 25 April 2023 PM
Cambridge International AS Level,English General Paper ,8021/23,1h 45m,Thursday 27 April 2023 PM
Cambridge International AS Level,English Language ,9093/13,2h 15m,Wednesday 26 April 2023 PM
Cambridge International AS Level,English Language ,9093/23,2h,Friday 28 April 2023 PM
Cambridge International AS Level,Environmental Management ,8291/11,1h 45m,Wednesday 26 April 2023 AM
Cambridge International AS Level,Environmental Management ,8291/21,1h 45m,Monday 01 May 2023 AM
Cambridge International AS Level,First Language Spanish ,8665/21,1h 45m,Thursday 27 April 2023 AM
Cambridge International AS Level,First Language Spanish ,8665/41,2h 30m,Monday 22 May 2023 AM
Cambridge International AS Level,French Language ,8682/21,1h 45m,Wednesday 26 April 2023 AM
Cambridge International AS Level,French Language ,8682/31,1h 30m,Tuesday 16 May 2023 AM
Cambridge International AS Level,Further Mathematics ,9231/11,2h,Thursday 18 May 2023 AM
Cambridge International AS Level,Further Mathematics ,9231/31,1h 30m,Friday 26 May 2023 AM
Cambridge International AS Level,Further Mathematics ,9231/41,1h 30m,Tuesday 30 May 2023 AM
Cambridge International AS Level,Geography (Core) ,9696/13,1h 30m,Tuesday 02 May 2023 PM
Cambridge International AS Level,Geography (Core) ,9696/23,1h 30m,Tuesday 16 May 2023 PM
Cambridge International AS Level,Global Perspectives & Research ,9239/13,1h 30m,Wednesday 26 April 2023 PM
Cambridge International AS Level,History ,9489/11,1h 15m,Tuesday 02 May 2023 AM
Cambridge International AS Level,History ,9489/21,1h 45m,Thursday 04 May 2023 AM
Cambridge International AS Level,Information Technology ,9626/11,1h 45m,Tuesday 09 May 2023 AM
Cambridge International AS Level,Language & Literature in English ,8695/13,2h,Friday 28 April 2023 PM
